atributo,importancia_media_MAE,importancia_std
media_historica_municipio,0.8328957661330421,0.049303114797390385
media_movel_6m,0.5565018337086837,0.03279253569475214
media_movel_3m,0.45030344833714964,0.03552189927396507
lag_acidentes_1m,0.322583773351738,0.02632706172856989
municipio,0.26306923379423913,0.026077648259833396
lag_acidentes_2m,0.22201422315686942,0.025621827313415994
lag_acidentes_12m,0.165854601724198,0.01715334918640453
acidentes_acum_ano_ate_mes_anterior,0.09131944289850549,0.009798733614115936
ano,-5.551115123125783e-17,1.4686870114880517e-16
tempo_idx,-2.7755575615628914e-16,2.1499376424746292e-16
trimestre,-0.002337379485274932,0.001550376865635293
mes_sin,-0.002915157017793518,0.002116739047940836
mes,-0.003353928869712308,0.00298811271059744
mes_cos,-0.00432875938510513,0.0026050256442828983
eh_alta_temporada,-0.006575053623178312,0.0034972079416620877
