modelo,conjunto_atributos,ano_teste,data_referencia,municipio,y_real,y_pred
DummyMedia,calendario,2023,2023-01-01,agronomica,0,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,agronomica,1,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,agronomica,0,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,agronomica,2,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,agronomica,1,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,agronomica,1,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,agronomica,2,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,agronomica,1,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,agronomica,0,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,agronomica,0,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,agronomica,1,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,agronomica,2,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,agua doce,2,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,agua doce,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,agua doce,3,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,agua doce,1,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,agua doce,1,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,agua doce,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,agua doce,0,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,agua doce,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,agua doce,1,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,agua doce,2,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,agua doce,1,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,agua doce,2,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,aguas mornas,3,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,aguas mornas,5,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,aguas mornas,10,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,aguas mornas,9,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,aguas mornas,2,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,aguas mornas,4,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,aguas mornas,4,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,aguas mornas,4,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,aguas mornas,8,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,aguas mornas,8,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,aguas mornas,1,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,aguas mornas,9,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,alfredo wagner,5,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,alfredo wagner,2,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,alfredo wagner,1,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,alfredo wagner,4,4.982283464566929
