modelo,conjunto_atributos,ano_teste,n_treino,n_teste,MAE,RMSE,MAPE_%_sem_zeros,WAPE_%,R2
DummyMedia,calendario,2023,1524,1524,4.985783888234443,8.59056358573554,133.10591328173768,97.42703738516849,-0.00024764452480741106
DummyMedia,calendario,2024,3048,1524,5.175203739296368,9.231880521065897,132.51730503935036,94.10584057615637,-0.0023760827102126125
DummyMedia,calendario,2025,4572,1524,5.1058924803034795,8.953317253095756,135.15188638464986,95.05717248940266,-0.0003678905788171427
DummyMedia,calendario,2026,6096,635,5.24508881517763,9.27720409998181,133.4124598750282,94.13881847478223,-0.001259498817220317
Ridge,calendario,2023,1524,1524,5.3219044250070935,8.605942993416978,154.89819392415174,103.99515763188627,-0.003832272283108562
Ridge,calendario,2024,3048,1524,5.260127672425476,9.22339584402085,138.87311955349415,95.65009632235325,-0.0005344364539190405
Ridge,calendario,2025,4572,1524,5.34652612105157,8.958109272097008,151.52166605420058,99.5370853711531,-0.0014390164363964342
Ridge,calendario,2026,6096,635,5.363194995011647,9.272757708434503,141.48102036252993,96.25858738927067,-0.000299958670044953
Poisson,calendario,2023,1524,1524,5.273401486127315,8.601259858496867,151.62465539126327,103.04736331398934,-0.002740049648740861
Poisson,calendario,2024,3048,1524,5.262012499105305,9.223347851048311,139.00169520426243,95.6843699873104,-0.0005240241290840331
Poisson,calendario,2025,4572,1524,5.355000304559269,8.958732247102706,152.07672100902425,99.69485052709902,-0.001578307697757353
Poisson,calendario,2026,6096,635,5.36454165039963,9.272774470870152,141.5844089413198,96.28275715103915,-0.0003035751732192171
RandomForest,calendario,2023,1524,1524,5.058757938474902,8.590104873410391,137.4108061516487,98.85302087749392,-0.00014082646376922803
RandomForest,calendario,2024,3048,1524,5.239886147116984,9.225229488987456,137.05322133284295,95.28202467732112,-0.0009322958387776303
RandomForest,calendario,2025,4572,1524,5.299868643918125,8.956516345595812,148.45545759873605,98.66845606317153,-0.0010828973336565184
RandomForest,calendario,2026,6096,635,5.295287884695952,9.273587219796422,137.27226162338576,95.039791033972,-0.00047893396973219815
HistGradientBoosting,calendario,2023,1524,1524,4.99714799202481,8.593185673750813,132.7309807970076,97.64910295994115,-0.0008583466289044939
HistGradientBoosting,calendario,2024,3048,1524,5.188222394868159,9.233165627628388,132.60310081122293,94.34257164752505,-0.0026551698879522245
HistGradientBoosting,calendario,2025,4572,1524,5.2735542173349526,8.960565580800944,146.51205358490304,98.17855640384153,-0.00198827980027505
HistGradientBoosting,calendario,2026,6096,635,5.388385125150591,9.270867738701707,143.49183072651792,96.71069967412734,0.0001077612425922636
DummyMedia,calendario_lags,2023,1524,1524,4.985783888234443,8.59056358573554,133.10591328173768,97.42703738516849,-0.00024764452480741106
DummyMedia,calendario_lags,2024,3048,1524,5.175203739296368,9.231880521065897,132.51730503935036,94.10584057615637,-0.0023760827102126125
DummyMedia,calendario_lags,2025,4572,1524,5.1058924803034795,8.953317253095756,135.15188638464986,95.05717248940266,-0.0003678905788171427
DummyMedia,calendario_lags,2026,6096,635,5.24508881517763,9.27720409998181,133.4124598750282,94.13881847478223,-0.001259498817220317
Ridge,calendario_lags,2023,1524,1524,2.0755351963296143,3.0293175339705374,66.85278339971275,40.55796434422788,0.8756190638963175
Ridge,calendario_lags,2024,3048,1524,1.7524003660918934,2.672247767963342,51.13669454588137,31.86562651144309,0.9160146007425017
Ridge,calendario_lags,2025,4572,1524,1.7209885320191969,2.7203183856174475,49.52001154081028,32.039903772260644,0.9076511971799431
Ridge,calendario_lags,2026,6096,635,1.8139597882824192,2.98572783930873,51.935273958736296,32.55693797510843,0.8962918560481071
Poisson,calendario_lags,2023,1524,1524,3.27025153133562,6.210913968922868,66.85516001360595,63.903876570784526,0.47715224080614627
Poisson,calendario_lags,2024,3048,1524,3.3900935751885455,6.263794569435213,71.32198520814846,61.645419503488164,0.5385492490857904
Poisson,calendario_lags,2025,4572,1524,3.3266998031852846,6.710741120009582,75.30156718257807,61.93367334539914,0.4380045920306933
Poisson,calendario_lags,2026,6096,635,3.5307154251726653,7.3596676797913965,75.42918555673795,63.36925650041386,0.36987191629698635
RandomForest,calendario_lags,2023,1524,1524,1.7528876812092602,2.628876487186712,57.210078147896105,34.25311996618685,0.906329122647424
RandomForest,calendario_lags,2024,3048,1524,1.7000738399913276,2.6565012659783673,47.94217954405634,30.914121610151334,0.9170014701911154
